TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.eteks.sweethome3d.applet.AppletContentManager,BRANCH,0.264705882,68,18
com.eteks.sweethome3d.applet.AppletUserPreferences,BRANCH,0.6,100,60
com.eteks.sweethome3d.applet.HomeAppletController,BRANCH,0.304347826,69,21
com.eteks.sweethome3d.applet.HomeAppletRecorder,BRANCH,0.384615385,52,20
com.eteks.sweethome3d.applet.SweetHome3DApplet,BRANCH,0.016129032,62,1
com.eteks.sweethome3d.applet.SweetHome3DViewer,BRANCH,0.038461538,26,1
com.eteks.sweethome3d.HomeFrameController,BRANCH,0.833333333,6,5
com.eteks.sweethome3d.HomeFramePane,BRANCH,0.006993007,143,1
com.eteks.sweethome3d.io.AutoRecoveryManager,BRANCH,0.240963855,83,20
com.eteks.sweethome3d.io.Base64,BRANCH,0.772413793,145,112
com.eteks.sweethome3d.io.ContentDigestManager,BRANCH,0.414634146,123,51
com.eteks.sweethome3d.io.ContentRecording,BRANCH,1,0,0
com.eteks.sweethome3d.io.DamagedHomeIOException,BRANCH,1,3,3
com.eteks.sweethome3d.io.DefaultFurnitureCatalog,BRANCH,0.292857143,140,41
com.eteks.sweethome3d.io.DefaultHomeInputStream,BRANCH,0.242038217,157,36
com.eteks.sweethome3d.io.DefaultHomeOutputStream,BRANCH,0.469565217,115,54
com.eteks.sweethome3d.io.DefaultLibrary,BRANCH,1,11,11
com.eteks.sweethome3d.io.DefaultPatternTexture,BRANCH,0.083333333,12,1
com.eteks.sweethome3d.io.DefaultTexturesCatalog,BRANCH,0.547169811,53,29
com.eteks.sweethome3d.io.DefaultUserPreferences,BRANCH,0.794117647,34,27
com.eteks.sweethome3d.io.FileUserPreferences,BRANCH,0.492753623,414,192
com.eteks.sweethome3d.io.HomeContentContext,BRANCH,0.160493827,81,13
com.eteks.sweethome3d.io.HomeFileRecorder,BRANCH,0.649122807,57,35
com.eteks.sweethome3d.io.HomeURLContent,BRANCH,1,1,1
com.eteks.sweethome3d.io.HomeXMLExporter,BRANCH,0.792746114,193,153
com.eteks.sweethome3d.io.HomeXMLHandler,BRANCH,0.309477756,517,160
com.eteks.sweethome3d.io.ObjectXMLExporter,BRANCH,0.875,8,7
com.eteks.sweethome3d.io.ResourceBundleTools,BRANCH,0.6,10,6
com.eteks.sweethome3d.io.XMLWriter,BRANCH,1,41,41
com.eteks.sweethome3d.j3d.Object3DBranchFactory,BRANCH,0.681818182,22,15
com.eteks.sweethome3d.j3d.TextureManager,BRANCH,0,111,0
com.eteks.sweethome3d.model.AspectRatio,BRANCH,1,1,1
com.eteks.sweethome3d.model.BackgroundImage,BRANCH,1,15,15
com.eteks.sweethome3d.model.Baseboard,BRANCH,0.972222222,36,33
com.eteks.sweethome3d.model.Camera,BRANCH,0.916666667,48,44
com.eteks.sweethome3d.model.CatalogDoorOrWindow,BRANCH,1,22,22
com.eteks.sweethome3d.model.CatalogLight,BRANCH,1,12,12
com.eteks.sweethome3d.model.CatalogPieceOfFurniture,BRANCH,1,113,109
com.eteks.sweethome3d.model.CatalogTexture,BRANCH,0.982142857,56,54
com.eteks.sweethome3d.model.CollectionChangeSupport,BRANCH,1,10,10
com.eteks.sweethome3d.model.CollectionEvent,BRANCH,1,5,5
com.eteks.sweethome3d.model.Compass,BRANCH,0.925373134,67,62
com.eteks.sweethome3d.model.DamagedHomeRecorderException,BRANCH,1,4,4
com.eteks.sweethome3d.model.DimensionLine,BRANCH,1,49,49
com.eteks.sweethome3d.model.FurnitureCatalog,BRANCH,1,14,14
com.eteks.sweethome3d.model.FurnitureCategory,BRANCH,1,16,16
